reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGEDb22ebj8IayiNr5FhC16Bk7e3Td3L4WiOw-64h7kIz4Uh5o93bO9VxNc_UaBlIE8zzFZnwAoGoN0HA,Joe Stewart,https://lh3.googleusercontent.com/a-/AOh14Gg1UBLuqGRbuT6YCHMXHbxkjwhZHLx6cNOP0Xj7AA,"the app has a massive issue with it where it sends you push notifications, but gives you no place inside the app to actually receive or read them. it's a massive issue when I routinely get ""your order has been delayed until..."" and directs me to the app for the remaining message, which no longer exists anywhere. couple this with unreliable drivers and this makes ordering food an absolute losing craps shoot. I'll be happily no longer using this service given these conditions.",1,61,7.99,10,,
gp:AOqpTOHcBUPrHxjxpB96iTLdD1urzPxWFGtTngL96bL-rya3dscBC3aGk_Roxh8yz8WgUSXn62hbZbbR82rnPA,Nathan Woodford,https://lh3.googleusercontent.com/a-/AOh14Ggq18USCmKaTsYLIqNFXmVUNGbRhAYSFhuspsLteQ,"First delivery went great. Second time I ordered delivery, it said ""pickup"" on my order, and I SPECIFICALLY asked for delivery. I tried to use the help feature, but got NOWHERE. The help feature told me to call the restaurant, which I did, and they told me to use the help feature on the app. It seems the restaurant is refusing to deliver to my house (they delivered last week)and wouldn't refund my money. If you are wondering, I am unable to personally go to the restaurant in question.",1,53,7.99,10,,
gp:AOqpTOGSl0dytIr4wKpcH0t4TqI2bGyxd3xjbtwohlRJUqkJF9N3ceqlDMWN9FYWYJt0xxHmqf9xRQvJcqfpjA,Jodi Lynn Baughman,https://lh3.googleusercontent.com/a-/AOh14GgBiAHfZgzQw4Z1os96z3nmuFRRfDFnr0Iar-et7Q,"I let the app fill in the address, because I did not know the hotel address. The driver delivered to wrong address, refused to work with me. I asked grun hub for a credit, they refused, because the address was wrong. The app filled in the address wrong. This is my only experience with grub hub.",1,12,7.99,09,,
gp:AOqpTOE1zgKRDc7uVsmoIOouDGDDJRs1-0h6b8WresGIGvvfKq90Q_zgDovONVu5U5cBHLSzUHuMp__t03Zkrw,Anthony Kipp,https://lh3.googleusercontent.com/a-/AOh14GjKxHHx3LbBc8q_MCLMKjzbQqjz-n-cihkJWAsG7g,"Such a horrible app. The most inconsistent way to order food. How many times are you guys going to screw up such a simple thing? I've tried to be patient with your app, but the massive inconsistency just makes this garbage unusable. Don't support. Don't install.",1,2,7.98,04,,
gp:AOqpTOHCZEZssj9XqAGJN1SIXnn_77wy_HtAIBgWxIIsw9i1cLMKJNe00BtaebPHOpCLHpFochIpRpFFj6p8Hg,Phynx Rayne,https://lh3.googleusercontent.com/a-/AOh14GhjancouCpO_pB1snhzqf7pr8L1XhAxW48Oo7kYoWY,I've never NOT had an issue with this app. It will glitch and edit my order. Change addresses. Add phone numbers that have been deleted. My last order had items removed but the charge was still there. Definitely switching to Uber Eats.,1,2,7.99,09,,
gp:AOqpTOEJHcGBaepaPPCHubhb_D5lZQSB_IoLCFvdQD6mRP8DwF3VBDLgnKsqi-6fbGahpqWaHMsLfCj2pDyfew,Katie Ketterl,https://lh3.googleusercontent.com/a-/AOh14GgiuYaRVr37H4xT3gzPyqVdD7TyWkNlMGPYqv9ZB6c,"Terrible is an understatement... We had a gift card and I have regrets about even using it. Every single restaurant on their app is ""closed"" so you can order from a total of about 2 restaurants. They said it would be a TWO HOUR wait. So we waited. Then they said it would be ANOTHER HOUR... Then we called the restaurant and no one ever came to pick it up. What the heck??? TERRIBLE service and company model. Won't ever be using this again. That's for sure.",1,6,7.99,10,,
gp:AOqpTOF7dydOW0-lWusxbVeeE1BXIGwpP7UJ2eTsOgAydOSqVfkgfFJtXXSgp2Qjcu8dObLytwcxNfzk6A2cxQ,Auzzy,https://lh3.googleusercontent.com/a-/AOh14GhNPLQVjV4woLAKfthFvNxE6zmnwLJG8Vne1_a0UA,"2nd time downloading it, 2nd time uninstalling it. 1st time was because I order a pizza at a local pizza place. The app didn't tell me I ordered pick up, waited almost an hour for me to figure it out. App was not clear at all about it and I had to call in and cancel the order, thankfully the pizza place is nice and canceled it. 2nd time I ordered from a burger joint here locally that was marked as open! Then i waited 45 mins just to have the driver call me and say they are closed.",1,2,7.98,06,,
gp:AOqpTOETLsf6Xa4ChSI9jlNormWzR_mSO-wD5afHS90yJzRxx8OHDJbB2odTsXXq17eE4hRrEpJxYLKAWMoSyA,Matthew Rivera,https://lh3.googleusercontent.com/-f3FkYQofALo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckozSkNp3VXw1fMBUQMIx8VkxD-oQ/photo.jpg,"Bug. Cant even order food as I continually get the ""something went wrong, unknown error"" message. Ridiculous how I haven't been able to use this app even after updating.",1,1,7.99,10,,
gp:AOqpTOHumL5DdPywFRctSu6GM25JTnLGot__irzOFYvvja_oThd80lulNIelpqaHkml4hm6psga9c02kpyPlvA,Matt Greiner,https://lh3.googleusercontent.com/-BF4pSjzL-ZE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngOArH6i7fgas-7-qoUIkddjAj7Q/photo.jpg,App frequently only displays last 2 restaurants as open and everything else closed. Only still using it because doordash doesn't work on my phone. Fees/taxes are as much or more than the meal. $33 for a $16 chicken parm. Whoa. Also turns on my location and changes delivery address to 2 houses down automatically. Why make a good app when you make money either way?,1,3,7.98,02,,
gp:AOqpTOEsiG_JbvEkT8odrKFRp2CLsTZzCGkxu_PVRrxFsNXjPCos0OHdLtZJm1WHH43iFpFgdiADcJ8h7SYGbw,Saxy Calzone,https://lh3.googleusercontent.com/a-/AOh14GiKUs57ysM5TIyhzvzCeW87AM-PrTbhtHni9xHzeQ,"Annoying beyond description. Can't have a certain amount of items. Limit of $150, but they include high price steakhouses that are fifty bucks a plate. Useless garbage app",1,1,7.98,07,,
gp:AOqpTOEJUirmwSsuGa8eN_6-yDqXD1mR_Gmj2OCn5cWqL27tGSBfctfVRlKnwdk0b_jCxjqNKy-zyYqpV3RE1g,Christopher Soltys,https://lh3.googleusercontent.com/-k-mq1dvjoYM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUTDl71xJNTinQiueJmRRwghIVmw/photo.jpg,"When I try to search in a geographic area, the map zooms out and gives me restaurants outside of the specified area. Terrible user interface.",1,1,7.98,03,,
gp:AOqpTOEuLrDaTaZChw_WXcPyRh4CkWS-38U9lpYTptLLtCOzMqfUEueRVf0-3qYwVkYbtGAsNaKtU9wEBPHVtQ,Donovan Rummel,https://lh3.googleusercontent.com/a-/AOh14Gggl81SizgkfngkcmyspXZerCxuIVVr9FongNl5kg,"Everytime I use this app I remember why I uninstalled it the previous time last time. Nothing works, keeps overcharging, charges for gh+ when I canceled TWICE",1,0,7.99,10,,
gp:AOqpTOFG-4VPBkUl_dXZB2olBMJZfr3LSf28s0iyMXE2cxkfi4WANve0XH7SXyNi320dgRiQ9HAeek7e4sfYXg,lazyfool109,https://lh3.googleusercontent.com/a-/AOh14Gi_V0HtdD-qmo1g_DWylrPGTD5J4hM2zYmz5ZJx,Looks old and out of date compared to door dash app. Glitchy when trying to add more to bag. App will close then you have find the restaurant you were ordering from again.,1,2,7.98,08,,
gp:AOqpTOFCinvh_ylWqPd7Hf_tNjLfMT5VsqBQAn-KHEM7msg0_Y4U8kIdNXxEhyKXEY0OijWPI39LIM6Tyf3R3A,Fredrick Thomason,https://lh3.googleusercontent.com/a-/AOh14GhFBHO_6x0543d76VMvaQcVghmLdBiiO2_Az-cJOJ0,Could be a lot better in handling resolutions. Trying to handle a mistake made by a restaurant is a headache. Your on hold forever when you call or they put you in a chat list cue waiting for your turn amongst 100-2000 other customers depending on the day.,1,0,7.98,06,,
gp:AOqpTOEommxATPIgqKCh7SjjCMOR3BWISZUdJJHMm1ziY-RQaFMyVU6N0GulcLNskoYyHL9RuzrL2S7EYeSllA,Helping Hands,https://lh3.googleusercontent.com/-k0oL1KBu3sI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckVdcGds3Z6EoXMSFvq3nQ-iqJZTw/photo.jpg,"First time using the app. The total including taxes, fees and tip was $35 yet they charged my card $44. No one can tell me what the other $9.00 was for. Will not use this app again.",1,0,7.98,01,,
gp:AOqpTOFati4BQu3gGwnUDON4pE39pFR80Mq6MMk0WTXt8U9iGOQOe4kI6qKqzqSpqnL7Zc_Za7Fwcj9hn73EHQ,Gerardo Reyes,https://lh3.googleusercontent.com/-Ix_M7urptIA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1bDID8SRwFyShGNhc_2fqCBe2yg/photo.jpg,"This app keeps bringing me back to the payment methods screen everytime. I put my venmo, and still ask for payment option. I try PayPal, but it just throws me in circles.",1,0,7.99,07,,
gp:AOqpTOGHyzAjOfDB9ENTtCz2HIt_bHySiB6AW-BXPcimIe22OjZEW9XQxKQHRONdEmzeKCkQoDI7Wf68tVgPVw,Emily Awesum,https://lh3.googleusercontent.com/-B43BGDLoaOM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmCrC0O8QzIvvWBTQ1-nfNHv7nEEw/photo.jpg,The idea of the app is great. I've had a specific driver be so very mean to me on multiple occasions. She's just awful. I will not use this app due to fear of her being the one that shows up at my door,1,0,7.98,07,,
gp:AOqpTOEe1TEBCo7ibcDOlsijLvtFuqwCSMW2SVNaPLoa4r8Tux1QzEK3MnSZG6aG-mNx6R1KKhCa3AAjgQseGQ,JohnRB,https://lh3.googleusercontent.com/-CzYTosZpGkc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclReM606Yu0lYaT3hX7SXoOYVjVZg/photo.jpg,Unusable. I put my address in and it says It can't find it. Total waste of time.,1,0,7.98,05,,
gp:AOqpTOGJ_VW_z48KkBthbpL6owJO-s-Lwsd81px1rpB0SXjlL08RtoiQMBvmvtV0743IpTmG99Zwcsr7cXr-xw,Michael Gerstner,https://lh3.googleusercontent.com/-wilEGOJfh-4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclLvwHe6H4zr2zeKt0si-TQvn4j4A/photo.jpg,Feels like every single input on the app results in being asked to review. Here it is.,1,0,7.98,06,,
gp:AOqpTOH1MBsqeJZwqhwC7FE_AMoVSGuukGJ5VNKOHyPpTYPp4-_-h7UBoTCalvxT4gkcwqPnU0sRfdAdhktKzg,Codie Dreher,https://lh3.googleusercontent.com/-9sovmFJHYsE/AAAAAAAAAAI/AAAAAAAADk4/AMZuuck8h3p9tmfCcrlQ09-KZxtj_RS-9w/photo.jpg,"This app is never reliable. You go in to order, shows everything is open and when you place your order suddenly there are no restaurants available.",1,0,7.98,01,,
gp:AOqpTOFdLRZz0lMuFz2kO02M0eq_cMnOPX44FgOMzTx2Jge3ZkC3GOoGfbKFePCbvQrS4vFe9wZ3R-b62zkXdA,Elijah Basore,https://lh3.googleusercontent.com/a-/AOh14GjBLDrNM3bbU_JqS6hmEiJlY-ucCKoDCmKTM--JVg,"The app will constantly misrepresent delivery times and restaurants will randomly ""close"" causing your order to get cancelled after being delayed several times. Had it happen with my last three orders and can honestly say that literally any other delivery app is better than this right now.",1,2,7.99,09,,
gp:AOqpTOHy2JwX-_zyQIr88Bc6A9hfnqeCgDOTMhCwEy_hfFHQ2VxEepMGl-171y2UGtRufxgIKYaXLzg-J9paGg,June Cheveallier,https://lh3.googleusercontent.com/a-/AOh14GjOf9TtGw2nDx7h0KZbyFXWHTN-JyO0EVuneBYZ9Q,I have a problem with my card number getting stolen twice now since using this app.,1,0,7.99,10,,
gp:AOqpTOHDz0FbmEKgQmyXFqmpNP6fpjPJNwQgivhOsZBMRmk16OOXsYXFb_8ykbciGD3yvcvzv3CCGZEw38AwUQ,Cesar Gomez,https://lh3.googleusercontent.com/-IoA1qqHBnv8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZOIaj0AK2-_nwPZREQYrana5wpw/photo.jpg,Horrible app worst app to get food from get charged for a pretty large meal I ordered for a special event and the moment it should be arriving it says that it got cancelled and that I have to wait 5 business days. Horrible customer service not giving me a reason why it got canceled just blaming it on the restaurant I called the restaurant and they never received the order from the grubhub. 0 star rating if i could. Imma get postmates,1,0,7.98,02,,
gp:AOqpTOGkncjQbr32a_WTmilehQMMpXIT-7kRMbL2nxAMnUZDJOZyK8TpECYcBwFuHGr0lXN4c01-wQm3y4LzaQ,James E,https://lh3.googleusercontent.com/a-/AOh14GhhA3faOuPs9egu_v8C04o8jtAotatizFkg3UeUDw,"Orders are consistently wrong, drivers can't figure out how to get into building despite door code in the instructions. No easy way to get refunds or fixes. App is buggy with numerous random errors. Food delivery estimate is a joke, always arrives 45+ minutes after.",1,0,7.98,06,,
gp:AOqpTOFmsZ6V-K3_O39UVgsNFsztljB7eQaUZu9PPyDnOfersLxvErw5Xhkec_2dKiG1nNdsQfycNpmgvuamqA,Katie Croomes,https://lh3.googleusercontent.com/-dDTF1peiY0Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKkRvUl6eLU5bcUVydbuJp48MQBw/photo.jpg,This is definitely the most expensive food delivery app and the slowest to bring you food to you door dash is what I would recommend food comes fast and it is much cheaper,1,1,7.98,05,,
gp:AOqpTOF4Vn7RT3Fr-XedNecUnlAZgb3z4pAnchDkVZlc_1YZPAOV7r6OUDgswTT42NCBwGYcrUv28lgxehnNUQ,Logic,https://lh3.googleusercontent.com/a-/AOh14Gj7A4Y9EG_lvrJSj8f-yy5P4Um24BGKQUNIFAJe1yg,Doesn't work I typed in everything exact and have location finder on but the app doesn't show any restaurants,1,1,7.98,03,,
gp:AOqpTOGh3kU9axjZF19bM1mSGaN1hRoj7nTNT0b1gVucqRnAsJZ13vFBS7gtiFwzpDm3a-ieCNraKQYWQEKfcQ,Arryn Dennard,https://lh3.googleusercontent.com/a-/AOh14GidkT03wtEXjwp8NmdbOKx844K7lUzdn7TYPqdsFw,It would be so much improved if there were more transparency in what the delivery cost of a restaurant is. Not knowing until you choose items and go to checkout is unnecessarily circuitous.,1,4,7.98,04,,
